기타_용도_분리,Total Count
단독주택,2114809
주택,2069361
근린생활시설,513863
제2종근린생활시설,504077
공장,362588
제1종근린생활시설,290552
창고시설,280232
창고,272363
공동주택,262082
식물관련시설,187056
동,176831
다세대주택,165076
다가구주택,150273
아파트,133031
점포,114963
축사,99921
동물및식물관련시설,81241
및,78442
농가주택,78145
소매점,70131
2종근린생활시설,67233
교육연구시설,66596
제1,60711
사무실,57564
동물관련시설,45354
다가구용단독주택,45153
변소,44164
사무소,42023
업무시설,40072
숙박시설,38638
노유자시설,36109
일반음식점,35927
자동차관련시설,33454
화장실,33150
5가구,29791
3가구,29337
종교시설,28420
위험물저장및처리시설,28247
경비실,26558
교육연구및복지시설,26255
도시형생활주택,25435
다가구,25082
연립주택,24712
퇴비사,21739
제조업소,21532
4가구,20350
문화및집회시설,18657
2가구,17771
위락시설,17759
지하주차장,16688
외1,15352
1,15006
운동시설,15004
우사,13551
농업생산시설,13331
관리사,13104
근린공공시설,12928
교정및군사시설,12657
부속사,12541
부속,12258
다세대,12113
동식물관련시설,11715
부속창고,11474
판매시설,11260
경로당,11069
다가구용,10924
외,10701
주차장,10698
자원순환관련시설,10542
기계실,10521
전기실,10520
교회,9912
오피스텔,9909
다중주택,9421
7가구,9421
6가구,9385
마을회관,9189
동물,9041
제1종,8748
영업소,8551
관리사무소,8378
기숙사,8258
물치,8244
주거시설,8201
근린생활시설및주택,8066
농업용창고,7990
일반공장,7837
관광휴게시설,7717
단지형다세대,7694
의료시설,7639
1가구,7525
보일러실,7406
휴게음식점,7106
돈사,7052
2,7044
단독,6986
발전기실,6841
군사시설,6824
제2종,6809
여관,6684
대중음식점,6621
주민공동시설,6620
야영장시설,6524
식당,6478
펌프실,6477
버섯재배사,6318
농어가주택,6110
차고,6068
종교집회장,5796
8세대,5769
근린생활,5668
1종근린생활시설,5560
제2종근생,5534
8가구,5511
분뇨,5270
쓰레기처리시설,5237
단지형다세대주택,5216
근생,5215
계사,4945
국방군사시설,4916
어린이집,4904
주유소,4765
수리점,4739
노인정,4703
다방,4694
일용품소매점,4579
잠실,4494
국방,4453
공해공장,4439
영업,4427
mdf실,4420
저온저장고,4386
회관,4223
사찰,4079
주,3972
외2,3930
택,3919
농가창고,3825
학원,3813
발전시설,3804
저온창고,3767
의원,3733
방재실,3659
대피소,3647
분뇨및쓰레기처리시설,3617
제1종근생,3576
헛간,3564
생활편익시설,3544
제실,3528
처리시설,3448
3,3426
주택및근린생활시설,3412
2종,3385
농기계보관창고,3379
수련시설,3371
10가구,3342
관리실,3331
복지시설,3277
11가구,3255
9가구,3251
노인복지시설,3240
원룸형,3233
보육시설,3179
농가용주택,3176
주택및창고,3108
작업장,3074
정미소,2994
작은도서관,2989
근린생활시설및,2986
음식점,2951
농촌주택,2883
지하실,2858
저장고,2779
휴게실,2759
부대시설,2730
생,2725
정비공장,2622
영업용,2603
수위실,2596
사택,2579
10세대,2490
건조실,2486
숙소,2483
주택및점포,2457
근린시설,2411
농가,2406
12가구,2340
장,2295
유치원,2283
공,2271
세차장,2253
위험물저장,2245
농산물보관창고,2221
주택및,2208
근,2185
교육연구,2178
운수시설,2173
공중화장실,2166
상가,2154
정자,2149
5,2104
농업용,2098
판매및영업시설,2088
제조장,2067
일반창고,2054
지하,1973
초등학교,1944
건조장,1906
문고,1901
작물재배사,1852
연구소,1824
제조업,1815
학교,1796
독서실,1752
목욕탕,1744
농가용창고,1731
단독주택외1,1705
15가구,1700
여인숙,1686
골프연습장,1676
관리사무실,1674
4,1667
다가구용주택,1652
폐기물재활용시설,1614
공공업무시설,1604
공공용시설,1560
집회시설,1549
14가구,1532
단지형,1512
식물,1509
9세대,1499
고시원,1495
2종근생,1486
6세대,1482
관련시설,1475
13가구,1472
묘지관련시설,1472
3세대,1459
관사,1438
열교환실,1382
공장시설,1356
단독주택외,1348
7세대,1341
행랑,1339
점포및주택,1338
법당,1328
19가구,1324
시장,1315
국방ㆍ군사시설,1313
위험물저장소,1294
제2종근린생활시설외1,1280
농사용창고,1277
냉동창고,1263
온실,1263
시설,1253
병원,1247
문화,1246
방송통신시설,1245
농업인주택,1243
제각,1219
부대,1212
다용도실,1205
4세대,1202
양수장,1198
12세대,1195
18가구,1190
당구장,1182
재활용품보관소,1182
생활숙박시설,1181
교사,1178
계단실,1177
농산물창고,1174
기계,1166
상점,1160
교실,1153
관광숙박시설,1149
샤워실,1146
숙직실,1141
제2종근린생활시설외,1125
미용원,1110
근린생활시설및단독주택,1096
16가구,1071
2세대,1065
1용도,1056
캐노피,1056
전기,1052
농막,1040
노인회관,1039
유흥음식점,1037
생활시설,1028
주거용,1004
일반숙박시설,1003
도정공장,987
공중변소,985
전시장,977
물탱크실,972
주민운동시설,970
마을공동시설,961
5세대,952
모정,949
사회복지시설,947
종묘배양장,946
물치장,932
욕실,905
다가구주택및근린생활시설,893
근린생활시설및다가구주택,892
정수장,880
휴양콘도미니엄,877
변전소,851
우체국,849
관리소,848
단지형연립주택,847
휘트니스센터,841
농가용,838
농기계창고,833
기타공장,830
일반업무시설,830
문간,827
감귤저장고,812
6,809
농산물집하장,807
대피실,806
복리시설,803
회의실,799
공동,796
7,796
영유아보육시설,790
8,783
변전실,783
일용품점,769
부대복리시설,765
1세대,763
단독주택및창고,762
일반주택,761
체육관,752
대학교,751
부속건물,744
노래연습장,738
구매시설,734
실험실,723
교육원,721
경노당,719
유흥주점,715
휴게소,713
사당,713
사무동,709
금융업소,709
관람집회시설,704
사료창고,702
제1종근린생활시설외,701
농산물,700
폐수처리장,696
중학교,689
위험물,683
한의원,676
동물및,675
재실,674
고등학교,673
11세대,672
근린,664
탁구장,657
재활용품창고,654
16세대,652
관리동,647
다중,646
게스트하우스,641
농가주택및창고,639
1종,634
농기계수리점,633
다가구단독주택,631
보건진료소,630
축사및퇴비사,624
17가구,617
성당,614
통로,614
미용실,613
제1종근린생활시설외1,613
요사체,611
연립,608
주민회의실,605
농산물간이집하장,605
전시시설,599
3가구용,594
지식산업센터,593
집하장,587
폐기물처리시설,585
통신실,585
새마을회관,576
창고및변소,576
농업용주택,574
위험물취급소,573
위험물저장및,572
도서관,569
주민카페,568
고물상,562
파출소,561
저온저장창고,560
교육관,548
주거,541
제2종근린생활,540
공항시설,536
체력단련장,531
엠디에프실,521
마을공회당,520
제조시설,519
가축용창고,518
강당,515
15세대,511
부속화장실,510
기계전기실,506
아동관련시설,504
콩나물재배사,504
연수원,503
5가구용,503
보관창고,500
단란주점,499
주택및창고시설,496
동사무소,495
주택외,494
제2종근,490
14세대,488
장례식장,485
사설강습소,483
냉장창고,478
제연휀룸,478
저장,475
샤워장,472
탈의실,471
근린생활시설외,469
외3,466
제1종및제2종근린생활시설,466
농수산물보관창고,463
mdf,461
액화석유가스충전소,459
관광호텔,459
근생시설,454
구판장,453
재활용창고,452
교육시설,451
연구실,443
경비실1,437
기타,436
이용원,436
다목적실,434
교정,433
멀티프로그램실,433
공동주택외1,432
고,430
단독주택및,425
등,424
사,424
농기계,421
창,421
10,420
경비실2,418
통신시설,418
오리사,417
마을공동작업소,416
대문,416
보이라실,413
단독주택및제2종근린생활시설,413
관련,409
및근린생활시설,408
제2종근린생활시설및단독주택,408
위험물창고,406
창고및주택,405
자재창고,405
1종근생,404
광,401
체육도장,400
호스텔,399
방앗간,398
창고및화장실,395
변소및창고,391
피트니스센터,387
청소년수련시설,385
유아원,384
2가구용,383
4가구용,382
원룸형주택,381
협동주택,379
창고및,379
급식소,378
세탁소,376
간이음식점,375
위험물저장처리시설,372
감시실,372
가스저장소,371
gx룸,370
다중생활시설,370
피트니스,369
휘트니스,369
항만시설,368
교육연구및,368
은행,366
외부계단,366
연구시설,366
판매,364
위험물저장시설,364
분뇨쓰레기처리시설,361
경비초소,360
감귤창고,360
입주자회의실,358
톱밥우사,358
매점,357
보건소,356
약국,356
예식장,352
근생및주택,352
외1용도,351
소방서,351
지원시설,347
옥탑,346
19세대,346
축분장,345
종묘배양시설,342
교육연구시설및복지시설,342
외1건,341
도시형생활주택단지형다세대,340
제2종근린생활시설외2,339
근린생활시설외1,338
전신전화국,338
주택및부속사,338
복지회관,337
착유실,336
9,334
견사,332
매매장,331
부동산중개업소,330
일반유흥음식점,330
1건,330
예능계학원,330
다가구주택및,329
단독주택및근린생활시설,329
요양병원,328
산신각,327
단독주택외2,327
방,327
아동복지시설,326
택배보관실,325
단독주택외1건,324
주택및축사,323
우분장,322
공공시설,322
비가림시설,321
청소년수련원,320
열교환기실,316
주방,316
요사채,316
자동차,315
제2근린생활시설,315
생산시설,314
골프장,313
보육실,312
폐차장,311
부동산중개사무소,311
11,311
양계장,310
근린생할시설,309
하수처리장,309
양어장,305
자동차수리점,304
작업실,302
축양장,301
제1종근린생활,300
제조공장,299
다목적강당,298
및주택,297
도시형,297
위험물제조소,292
18세대,289
휀룸,288
게이트볼장,288
콘도미니엄,285
13세대,284
2근린생활시설,283
분뇨처리시설,281
위험물처리시설,279
경비동,278
및제2종근린생활시설,278
철도시설,277
운전보안시설,275
사진관,273
하역장,273
구매,273
식품공장,270
제1ㆍ2종근린생활시설,270
제2종근린생활시설및주택,269
초소,269
공장및사무실,267
저장소,265
농산물보관,265
보건지소,264
마을공동창고,264
목공소,263
급식실,263
발전실,263
우산각,262
소매시장,262
톱밥발효우사,261
케노피,261
주택및부속,260
이발소,260
실,259
통신기계실,259
근린생활시설및다세대주택,258
아파트형공장,258
곤충사육사,258
대웅전,258
도시형생활주택단지형,257
검사장,256
직원숙소,253
지하대피소,253
맘스스테이션,252
생활,250
도시형생활주택원룸형,249
지역아동센터,249
연결통로,249
하수처리시설,246
물품제조공장,246
돈분장,245
수녀원,245
자연권수련시설,245
제1종근,244
영업시설,244
미장원,243
관리,243
식물재배사,242
공동주택외,242
농기계공동보관창고,240
통신용시설,240
생활형숙박시설,239
주민공동이용시설,239
12,238
대기실,236
공동작업장,236
제2종근생시설,235
a,235
유기장,234
주택부속창고,234
중앙공급실,234
축사및창고,234
옥외화장실,233
근생및다가구주택,232
정비고,230
농업생산,230
무인택배실,227
부건,227
점포및,226
문화집회시설,226
연쇄점,225
물류창고,225
양계사,225
무기고,223
위험물판매취급소,223
p,222
운동장,222
잎담배공동건조장,221
저장조,221
곶감건조장,221
퇴비저장시설,220
위험물저장창고,219
배수장,219
농사용,218
목욕장,218
취사장,218
볏짚창고,217
농산물저장창고,216
방재센터,216
홀,215
오양,215
구내식당,215
